id,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,con
197956,,Buna,2.61719752,42.0626354,59.9987,-38.864,-41.234,21.832,7.28,3.389,G0,0.656,34.49,28.188,40.196,2.62E-05,6.82E-06,6.05E-06,And
205736,86Gam Cet,Kaffaljidhma,2.721678,3.235818,24.4081,-146.43,-145.27,-5.1,3.47,1.532,A3V,0.093,18.44,15.931,1.378,8.12E-06,-1.59E-05,-1.75E-05,Cet
209789,,Koeia,2.77857957,-23.08660579,23.4231,294.717,140.966,32.491,10.25,8.402,M0,1.389,16.093,14.328,-9.185,5.26E-06,4.95E-05,1.70E-06,Eri
211183,39 Ari,Lilii Borea,2.79848361,29.2471177,52.5239,150.336,-124.838,-15.726,4.52,0.918,K1III,1.112,34.069,30.652,25.662,-2.45E-05,2.95E-05,-3.56E-05,Ari
213240,,Nushagak,2.82902362,71.75323322,77.4341,90.848,-33.013,-3.286,8.17,3.725,G5,0.643,17.894,16.36,73.54,-1.51E-05,3.24E-05,-7.07E-06,Cas
213523,41 Ari,Bharani,2.83306504,27.26050911,50.7872,65.47,-116.59,4,3.61,0.081,B8V,-0.1,33.288,30.498,23.262,1.49E-06,2.32E-05,-2.36E-05,Ari
214331,15Eta Per,Miram,2.84494742,55.8954932,306.2089,16.346,-13.518,-1,3.77,-3.66,K3IB,1.69,126.232,116.378,253.546,-4.65E-06,2.87E-05,-1.21E-05,Per
214743,2Tau-2 Eri,Angetenar,2.85064437,-21.00402309,59.5486,-52.886,-21.805,-9,4.76,0.886,K0 III,0.906,40.8157,37.743,-21.3446,2.40E-06,-1.86E-05,-2.58E-06,Eri
220725,3Eta Eri,Azha,2.940458,-8.898144,41.292,78.2,-219.121,-20,3.89,0.811,K1III-IV,1.088,29.293,28.393,-6.387,-3.03E-05,-7.55E-06,-4.02E-05,Eri
222736,The-1 Eri,Acamar,2.971023,-40.304672,50.2393,-52.273,23.058,12,2.88,-0.625,A4III+...,0.128,27.296,26.885,-32.497,1.82E-05,4.60E-08,-3.66E-06,Eri
224752,,Ayeyarwady,3.0029601,-20.80260098,161.6618,-19.599,-22.666,-13.719,7.81,1.767,G8/K0 IV,0.936,106.777,106.943,-57.414,-2.86E-06,-2.46E-05,-1.16E-05,Eri
226964,92Alp Cet,Menkar,3.03799228,4.08973824,76.3942,-11.81,-78.76,-26,2.54,-1.875,M2 III,1.63,53.343,54.414,5.448,-1.40E-05,-2.05E-05,-3.10E-05,Cet
233283,26Bet Per,Algol,3.13614714,40.9556512,27.571,2.39,-1.44,4,2.09,-0.112,B8V,-0.003,14.189,15.239,18.072,1.96E-06,2.57E-06,2.54E-06,Per
234642,27Kap Per,Misam,3.1582707,44.85753454,34.8051,165.691,-138.559,29,3.79,1.082,K0III,0.98,16.7087,18.1536,24.5495,4.83E-06,4.65E-05,4.35E-06,Per
236923,57Del Ari,Botein,3.19382412,19.7266757,50.5738,153.871,-5.586,25,4.35,0.83,K2III,1.033,31.9117,35.3264,17.0708,-1.16E-05,4.35E-05,7.34E-06,Ari
237428,Alp For,Dalim,3.201249,-28.987618,13.999,359.565,619.186,-20,3.8,3.07,F8V,0.543,8.1908,9.1023,-6.7837,-1.65E-05,1.82E-05,4.67E-05,For
241594,13Zet Eri,Zibal,3.26389562,-8.81973052,36.503,-2.8,46.883,-4,4.8,1.988,A2 III,0.232,23.685,27.206,-5.597,-1.45E-06,-2.41E-06,8.83E-06,Eri
246055,,82 G. Eri,3.33212526,-43.06978094,6.0414,3035.017,726.964,86.7,4.26,5.354,G8V,0.711,2.8381,3.3799,-4.1256,-1.71E-05,0.000117902,-4.50E-05,Eri
